Symbol,Name,Mkt,Sector,Score,Verdict,EntryDate,EntryPrice,P_1W,Ret_1W%,P_1M,Ret_1M%,P_3M,Ret_3M%
ADBE,Adobe Inc.,US,Technology,71.5,BUY,2024-01-12,596.54,603.59,1.18,604.66,1.36,470.1,-21.2
GESHIP.NS,THE GE SHPG.LTD,IN,Industrials,70.4,BUY,2024-01-15,892.79,897.19,0.49,884.17,-0.97,902.03,1.04
BKNG,Booking Holdings Inc. Common St,US,Consumer Cyclical,67.0,BUY,2024-01-12,137.53,137.67,0.1,146.79,6.74,137.22,-0.22
MUTHOOTFIN.NS,MUTHOOT FINANCE LIMITED,IN,Financial Services,66.5,BUY,2024-01-15,1402.8,1317.01,-6.12,1331.78,-5.06,1590.99,13.42
CPAY,"Corpay, Inc.",US,Technology,66.3,BUY,2024-01-12,283.99,287.46,1.22,272.38,-4.09,296.29,4.33
APP,Applovin Corporation,US,Communication Serv,66.2,BUY,2024-01-12,41.71,43.35,3.94,46.87,12.37,71.43,71.25
GRMN,Garmin Ltd.,US,Technology,66.2,BUY,2024-01-12,119.33,122.09,2.31,118.35,-0.82,137.15,14.93
SUNTV.NS,SUN TV NETWORK LIMITED,IN,Communication Serv,66.1,BUY,2024-01-15,652.77,588.49,-9.85,594.75,-8.89,582.07,-10.83
AIZ,"Assurant, Inc.",US,Financial Services,66.1,BUY,2024-01-12,158.98,163.0,2.53,166.58,4.78,167.37,5.28
FINCABLES.NS,FINOLEX CABLES LTD,IN,Industrials,66.1,BUY,2024-01-15,1052.06,1063.88,1.12,988.53,-6.04,970.79,-7.72
